Unnamed: 0,conds,hum,precipm,tempm,wspdm
2017-01-01 02:00:00,Mist,92.0,,9.0,10.8
2017-01-01 05:00:00,Mist,100.0,,9.0,3.6
2017-01-01 08:00:00,Mist,96.0,,8.0,7.2
2017-01-01 11:00:00,Scattered Clouds,55.0,,16.0,3.6
2017-01-01 14:00:00,Mostly Cloudy,39.0,,20.0,7.2
2017-01-01 17:00:00,Mostly Cloudy,43.0,,20.0,3.6
2017-01-01 20:00:00,Mostly Cloudy,74.0,,16.0,10.8
2017-01-01 23:00:00,Mist,93.0,,14.0,10.8
2017-01-02 02:00:00,Mist,94.0,,13.0,3.6
2017-01-02 05:00:00,Mist,94.0,,13.0,3.6
2017-01-02 08:00:00,Mist,94.0,,13.0,3.6
2017-01-02 11:00:00,Haze,58.0,,20.0,7.2
2017-01-02 14:00:00,Scattered Clouds,41.0,,25.0,3.6
2017-01-02 17:00:00,Mostly Cloudy,42.0,,25.0,7.2
2017-01-02 20:00:00,Partly Cloudy,72.0,,19.0,10.8
2017-01-02 23:00:00,,87.0,,16.0,10.8
2017-01-03 02:00:00,Mist,96.0,,15.0,7.2
2017-01-03 05:00:00,Mist,98.0,,14.0,7.2
2017-01-03 08:00:00,Mist,97.0,,14.0,10.8
2017-01-03 11:00:00,Mostly Cloudy,52.0,,21.0,7.2
2017-01-03 14:00:00,Mostly Cloudy,40.0,,24.0,3.6
2017-01-03 17:00:00,Scattered Clouds,42.0,,24.0,3.6
2017-01-03 20:00:00,,77.0,,18.0,7.2
2017-01-03 23:00:00,Mist,93.0,,16.0,7.2
2017-01-04 02:00:00,Mist,94.0,,14.0,7.2
2017-01-04 05:00:00,Mist,96.0,,13.0,7.2
2017-01-04 08:00:00,Mist,98.0,,13.0,7.2
2017-01-04 11:00:00,Haze,67.0,,20.0,3.6
2017-01-04 14:00:00,,48.0,,24.0,7.2
2017-01-04 17:00:00,,53.0,,24.0,14.4
2017-01-04 20:00:00,Mist,81.0,,19.0,3.6
2017-01-04 23:00:00,Mist,96.0,,17.0,7.2
2017-01-05 02:00:00,Mist,98.0,,16.0,3.6
2017-01-05 05:00:00,Partial Fog,98.0,,14.0,7.2
2017-01-05 08:00:00,Light Fog,97.0,,15.0,3.6
2017-01-05 11:00:00,Light Fog,94.0,,18.0,3.6
2017-01-05 14:00:00,Clear,47.0,,26.0,18.0
2017-01-05 17:00:00,Partly Cloudy,47.0,,24.0,10.8
2017-01-05 20:00:00,Scattered Clouds,80.0,,19.0,7.2
